id,Title,Author,Date,Volume,Pages,DOI,SCOPUS_ID
1,Road Accidents - Study of the Evolution and Mapping of Accidents Within the Municipality of Cagliari – Italy,Rassu N.,2026-01-01,15896 LNCS,401-418,10.1007/978-3-031-97654-4_25,SCOPUS_ID:105010833046
2,The Technological Aspect of Digitalizing Traffic Management in Settlements under Martial Law and During Post-War Reconstruction,Verenych O.,2025-01-01,4023,188-199,,SCOPUS_ID:105017717995
3,"Indexing the Maintenance Priority of Road Safety Barriers in Urban and Peri-Urban Contexts: Application of a Ranking Methodology in Bologna, Italy",Nalin A.,2023-12-01,8,,10.3390/infrastructures8120181,SCOPUS_ID:85180723805
4,Contribution of a Geographic Information System to the Prevention of Crashes Among Vulnerable Road Users in the City of Cotonou: Exploratory Study,Daddah D.,2022-01-01,15,1271-1282,10.2147/RMHP.S362167,SCOPUS_ID:85133298571
5,A clearance pipeline-based method for street tree maintenance information detection using MLS data,Liu C.,2022-01-01,37,15324-15346,10.1080/10106049.2022.2097321,SCOPUS_ID:85133920736
6,"In field assessment of safety, security, comfort and accessibility of bus stops: A planning perspective",Rossetti S.,2021-12-01,,,,SCOPUS_ID:85099883786
7,Application of the mobile GIS for the improvement of the knowledge and the management of the road network,Gharbi A.,2020-03-01,12,23-39,10.1007/s12518-019-00279-2,SCOPUS_ID:85069482320
8,"Modern Approach to the Road Traffic Management in Cities of Ukraine: Case Study of Kyiv Municipal Company ""road Traffic Management Center""",Cherniy V.,2020-03-01,,,10.1109/E-TEMS46250.2020.9111757,SCOPUS_ID:85086994128
9,"In field assessment of safety, security, comfort and accessibility of bus stops: A planning perspective",Rossetti S.,2020-01-01,80,,10.48295/ET.2020.80.8,SCOPUS_ID:85100860574
10,Implementation of Heat Maps in Geographical Information System - Exploratory Study on Traffic Accident Data,Netek R.,2018-01-01,10,367-384,10.1515/geo-2018-0029,SCOPUS_ID:85051926590
11,A comparison between prediction power of artificial neural networks and multivariate analysis in road safety management,De Luca M.,2017-10-02,32,379-385,10.3846/16484142.2014.995702,SCOPUS_ID:84922374968
12,The design and implementation of traffic management system based on supermap,Yu M.,2014-01-01,587-589,2105-2108,10.4028/www.scientific.net/AMM.587-589.2105,SCOPUS_ID:84904965642
13,"A geographic information system-based analysis of ambulance station coverage area in Samsun, Turkey",Terzi O.,2013-01-01,54,653-658,10.11622/smedj.2013228,SCOPUS_ID:84887901057
14,"2012 International Conference on Civil, Architectural and Hydraulic Engineering, ICCAHE 2012",,2012-11-26,209-211,,,SCOPUS_ID:84870394698
15,Clustering analysis of the districts in Erzurum for traffic accidents between 2002 and 2007,Tortum A.,2011-07-01,6,2850-2857,,SCOPUS_ID:79960889043
16,"Development and analysis of GIS-based road traffic injury database for Karachi, Pakistan",Ali M.,2009-12-01,2,613-622,,SCOPUS_ID:84897659879
17,Technical documentation in traffic technology,Danko C.,2009-01-01,21,359-365,10.7307/ptt.v21i5.251,SCOPUS_ID:70449498809
18,Visualizing moose habitat changes due to infrastructure construction in southern Finland,Krisp J.M.,2004-01-01,35,,,SCOPUS_ID:85044523695
