id,Title,Author,Date,Volume,Pages,DOI,SCOPUS_ID
1,Road Accidents - Study of the Evolution and Mapping of Accidents Within the Municipality of Cagliari – Italy,Rassu N.,2026-01-01,15896 LNCS,401-418,10.1007/978-3-031-97654-4_25,SCOPUS_ID:105010833046
2,Examining the role of random parameters and unobserved heterogeneity in the frequency-severity of rural freeway run-off-road and fixed-object crashes: A Bayesian hierarchical-geospatial approach,Effati M.,2025-06-01,215,,10.1016/j.aap.2025.108005,SCOPUS_ID:105000151006
3,Ensuring resilience and safety of the transportation system of Kyiv in planning the network of road tunnels,Haiko H.,2025-03-01,19,,10.1016/j.cstp.2024.101355,SCOPUS_ID:85213568502
4,Analysis of Anomalies' Impact on Traffic Flow and Development of Heat Map Visualization for Optimizing Urban Congestion Management,Vladimir S.,2025-01-01,,455-460,10.1109/RusAutoCon65989.2025.11177266,SCOPUS_ID:105018736378
5,Geospatial analysis of motor vehicle crashes (MVCs) and trauma center accessibility in New York State,Mon N.O.,2025-01-01,26,S148-S157,10.1080/15389588.2025.2524846,SCOPUS_ID:105010843514
6,Traffic conflict analysis in continuous confluence area of cross-river bridge driven by vehicle trajectory data,Wang J.,2025-01-01,26,102-110,10.1080/15389588.2024.2385585,SCOPUS_ID:85201223561
7,Fracture Mapping in High-Energy Chest Trauma,Li S.,2024-10-01,13,,10.3390/jcm13206127,SCOPUS_ID:85207687265
8,Assessing micromobility safety on horizontal curves of bike lanes: A video motion analysis methodology,Sabbaghian M.H.,2024-07-22,7,,10.55329/mmvw5208,SCOPUS_ID:85210147286
9,Statistical and Spatial Analysis of Large Truck Crashes in Texas (2017–2021),Billah K.,2024-04-01,16,,10.3390/su16072780,SCOPUS_ID:85190375276
10,Incidence of persistent opioid use following traumatic injury: An infographic,Mauck M.C.,2024-02-05,49,87,10.1136/rapm-2023-104812,SCOPUS_ID:85170841313
11,A Study on Dynamic Thematic Map Service Models in Public and Private Sectors based on Dynamic Information to shift the Spatial Information Utilization Paradigm,Kim T.H.,2024-01-01,42,657-664,10.7848/ksgpc.2024.42.6.657,SCOPUS_ID:105009506523
12,Rib Fracture Map in High-Energy Injuries,Thomas C.N.,2023-04-01,37,E165-E169,10.1097/BOT.0000000000002531,SCOPUS_ID:85150362431
13,Risk reduction via spatial and temporal visualization of road accidents: a way forward for emergency response optimization in developing countries,Qalb A.,2023-01-01,30,310-320,10.1080/17457300.2022.2164312,SCOPUS_ID:85145675517
14,Safe Route Mapping of Roadways Using Multiple Sourced Data,Jiang S.,2022-04-01,23,3169-3179,10.1109/TITS.2020.3032643,SCOPUS_ID:85128669244
15,Contribution of a Geographic Information System to the Prevention of Crashes Among Vulnerable Road Users in the City of Cotonou: Exploratory Study,Daddah D.,2022-01-01,15,1271-1282,10.2147/RMHP.S362167,SCOPUS_ID:85133298571
16,Identification of contributing factors and hotspots of pedestrian-vehicle collisions in urban areas: An alternative hybrid method for small cities,Oestreich L.,2022-01-01,23,416-421,10.1080/15389588.2022.2104838,SCOPUS_ID:85135238282
