id,Title,Author,Date,Volume,Pages,DOI,SCOPUS_ID
1,A frequency-attentive spatio-temporal convolutional neural network with weighted feature fusion for EEG-based driver fatigue detection,Bello I.,2026-03-01,113,,10.1016/j.bspc.2025.108979,SCOPUS_ID:105020970120
2,Automated geolocalization of vehicles from UAV footage: evaluating measurement precision of object detection and segmentation methods,Ahmed M.W.,2026-03-01,18,,10.1007/s12518-025-00662-2,SCOPUS_ID:105020757138
3,Analyzing heterogeneity in motorcycle crashes: a comparative study of senior and young riders using the random forest approach,Mohamad I.,2026-03-01,23,,10.1016/j.cstp.2025.101666,SCOPUS_ID:105023178538
4,SET-DGCN: An end-to-end electroencephalography-based fatigue detection method for young drivers,Cao Y.,2026-02-01,225,,10.1016/j.aap.2025.108311,SCOPUS_ID:105021606484
5,A data-driven digital twin model for bridge health monitoring using feature fusion and unsupervised deep learning,Mousavi V.,2026-02-01,126,,10.1016/j.inffus.2025.103534,SCOPUS_ID:105011582702
6,Polynomial gated network: An intelligent classification method for driver fatigue based on EEG analysis,Huangfu C.,2026-01-15,257,,10.1016/j.measurement.2025.118973,SCOPUS_ID:105015608640
7,"Detection of driver maneuvers using a modular, low-cost sensor device",Pourkhaksar A.,2026-01-15,257,,10.1016/j.measurement.2025.118864,SCOPUS_ID:105015045729
8,Application of the dual-model interpretability framework of XGBoost-SHAP and GAT-GNNExplainer to investigate the impact of the built environment on traffic accidents at intersections,Chen Y.,2026-01-01,224,,10.1016/j.aap.2025.108305,SCOPUS_ID:105020965340
9,A Survey on Deep Learning Techniques and Real-Time Applications in Traffic Sign Recognition,Pattnaik S.,2026-01-01,1519 LNNS,57-65,10.1007/978-981-96-8901-9_6,SCOPUS_ID:105021828324
10,Low Visibility Forecasting Using Numerical Weather Prediction Data,Paul T.,2026-01-01,16022,196-212,10.1007/978-3-032-06129-4_12,SCOPUS_ID:105020018200
11,Detection of Potholes Using Deep Learning and Image Processing Techniques,Kanchana M.,2026-01-01,1359 LNNS,387-403,10.1007/978-981-96-4933-4_27,SCOPUS_ID:105020756548
12,Nominative Trademark Collision Analysis: A Study on the Performance of Natural Language Processing Models,Torres M.M.,2026-01-01,1524 LNNS,301-315,10.1007/978-3-031-97799-2_25,SCOPUS_ID:105020702647
13,Harmony or hazard? Quantifying driver workload under music and navigation distractions using interpretable AI,Peng Z.,2026-01-01,193,,10.1016/j.ssci.2025.107024,SCOPUS_ID:105019961918
14,DD-YOLO: A dual-channel dual-path YOLO network for target detection of blurred vehicles,Duan C.,2026-01-01,168,,10.1016/j.dsp.2025.105565,SCOPUS_ID:105014921910
15,Involution and Kolmogorov-Arnold networks based computationally efficient algorithm for detection of road defect with use of oriented bounding boxes,Tomiło P.,2026-01-01,17,,10.1016/j.asej.2025.103848,SCOPUS_ID:105021000389
16,Spectral Curvature Signature: A Frequency-Domain Descriptor for Driving Behavior Classification,Thai D.T.,2026-01-01,16354 LNAI,371-383,10.1007/978-981-95-4960-3_30,SCOPUS_ID:105023828972
17,Evaluating Viaduct Surface Cracking on SLAM Point Clouds: Insights from an Italian Case Study,Pascucci N.,2026-01-01,1675 LNNS,618-639,10.1007/978-3-032-07986-2_39,SCOPUS_ID:105021815907
18,Risk analysis of pedestrian crosswalks in airport drop-off zones based on integrated VISSIM–SSAM model,Qin M.x.,2026-01-01,224,,10.1016/j.aap.2025.108279,SCOPUS_ID:105019112239
19,Context reasoning-based vehicle traffic accident severity prediction using a machine learning algorithm in edge computing,Mahalakshmi V.,2025-12-31,7,,10.1088/2631-8695/ae06f5,SCOPUS_ID:105018298441
20,Residual generative adversarial network-driven Data enhancement for magnetic flux leakage-based defect recognition in oil and gas pipelines,Liu B.,2025-12-24,162,,10.1016/j.engappai.2025.112720,SCOPUS_ID:105019045001
21,"Driver risk classification for transportation safety: A machine learning approach using psychological, physiological, and demographic factors with driving simulator",Masmoudi M.,2025-12-22,162,,10.1016/j.engappai.2025.112585,SCOPUS_ID:105017419360
22,A hybrid ARIMA-BP approach for superior accuracy in predicting traffic accident losses,Liu J.,2025-12-01,15,,10.1038/s41598-025-09888-x,SCOPUS_ID:105010058248
23,An explainable multi-task deep learning framework for crash severity prediction using multi-source data,Xiao Y.,2025-12-01,15,,10.1038/s41598-025-09226-1,SCOPUS_ID:105009550432
24,Traffic accident severity prediction based on an enhanced MSCPO-XGBoost hybrid model,Chen F.,2025-12-01,15,,10.1038/s41598-025-00797-7,SCOPUS_ID:105010743982
25,A Computational Intelligence GNN–LSTM Framework for Spatiotemporal Prediction of Traffic Accident Severity in Smart Cities Using SHAP XAI,Alnowaiser K.,2025-12-01,18,,10.1007/s44196-025-01015-y,SCOPUS_ID:105019357148
26,"Predicting car accident severity in Northwest Ethiopia: a machine learning approach leveraging driver, environmental, and road conditions",Mengistu A.K.,2025-12-01,15,,10.1038/s41598-025-08005-2,SCOPUS_ID:105009543884
