id,Title,Author,Date,Volume,Pages,DOI,SCOPUS_ID
1,A frequency-attentive spatio-temporal convolutional neural network with weighted feature fusion for EEG-based driver fatigue detection,Bello I.,2026-03-01,113,,10.1016/j.bspc.2025.108979,SCOPUS_ID:105020970120
2,Desirable bikeways from the perspective of perceived safety using the ‘Hiyari Hatto Map’ in Japan,Tsuchiya K.,2026-03-01,23,,10.1016/j.cstp.2025.101665,SCOPUS_ID:105022812235
3,Surgical management of paediatric frontal fractures with and without sinus pneumatisation: a multicentre study,Sobrero F.,2026-03-01,127,,10.1016/j.jormas.2025.102607,SCOPUS_ID:105018959823
4,Multi-layer dynamic network model of traffic flow in terminal area and complexity analysis,Yating P.,2026-03-01,131,,10.1016/j.jairtraman.2025.102881,SCOPUS_ID:105014844594
5,Multi-factor coupled friction coefficient map spatiotemporal modeling and driving risk fusion for rainy roads,Yang L.,2026-02-01,225,,10.1016/j.aap.2025.108313,SCOPUS_ID:105021848309
6,An anchor-free automatic evaluation system for pavement surface distress using UAV aerial photograph,Yang T.,2026-02-01,259,,10.1016/j.measurement.2025.119669,SCOPUS_ID:105021944071
7,YOLO-RD: Road defect detection with context-aware attention and balanced loss,Wang P.,2026-01-21,662,,10.1016/j.neucom.2025.132000,SCOPUS_ID:105020987159
8,GPS-Based Toll Tracking and Speed Monitoring System,Jawale P.,2026-01-01,1459 LNNS,335-346,10.1007/978-981-96-7505-0_26,SCOPUS_ID:105020245720
9,"Actors, roles and responsibilities for speed management: A systems-based analysis of key stakeholders in Sweden and Queensland, Australia",Keller M.E.,2026-01-01,193,,10.1016/j.ssci.2025.107012,SCOPUS_ID:105018176926
10,Road Accidents - Study of the Evolution and Mapping of Accidents Within the Municipality of Cagliari – Italy,Rassu N.,2026-01-01,15896 LNCS,401-418,10.1007/978-3-031-97654-4_25,SCOPUS_ID:105010833046
11,Assessment of Dynamic Maritime Navigation Risks During Cold Surges in Bohai Bay and Northern Yellow Sea: An Integration of Atmospheric and Wave Numerical Models,Chen H.,2026-01-01,735 LNCE,275-284,10.1007/978-981-95-1487-8_27,SCOPUS_ID:105020244823
