id,Title,Author,Date,Volume,Pages,DOI,SCOPUS_ID
1,Decision Support System for Urban Road Safety: A Comparison Between Two Different City Size,Pinna M.,2026-01-01,15889 LNCS,54-71,10.1007/978-3-031-97603-2_4,SCOPUS_ID:105011051121
2,Mapping Risk Factors to Build Inclusive Roads: A Systematic Diagnosis for Enhancing Vulnerable Users and Persons with Reduced Mobility Safety,Maestroni D.,2026-01-01,15898 LNCS,87-104,10.1007/978-3-031-97657-5_6,SCOPUS_ID:105010822127
3,Road Accidents - Study of the Evolution and Mapping of Accidents Within the Municipality of Cagliari – Italy,Rassu N.,2026-01-01,15896 LNCS,401-418,10.1007/978-3-031-97654-4_25,SCOPUS_ID:105010833046
4,Spatiotemporal and behavioural correlates of cycling near misses: evidence from helmet-mounted video data,Christie N.,2026-01-01,224,,10.1016/j.aap.2025.108272,SCOPUS_ID:105021857046
5,Interactions Between Drivers and Road Infrastructure Characteristics: Combining OBD and Geographic Data to Classify Driver Behaviors with Feed-Forward Neural Network,Nicolosi V.,2026-01-01,15892 LNCS,51-64,10.1007/978-3-031-97638-4_4,SCOPUS_ID:105010831208
6,A systematic review on GIS-based road traffic accidents analysis and road safety audit,Endashaw D.K.,2025-12-01,5,,10.1007/s43762-025-00221-w,SCOPUS_ID:105019196309
7,Determining the Spatial and Temporal Distribution of Traffic Accidents Using GIS-based Data in Tabriz,Dianat I.,2025-12-01,20,219-232,10.18502/ijre.v20i4.18869,SCOPUS_ID:105013972142
8,Epidemiology of pediatric road traffic injuries: a multicenter hospital-based study in Ghana,Appiah A.B.,2025-12-01,12,,10.1186/s40621-025-00646-1,SCOPUS_ID:105024254012
9,"Spatiotemporal modeling and mapping of traffic crashes using R programming and GIS: a case study of Bole sub city, Addis Ababa, Ethiopia",Haile M.N.,2025-12-01,15,,10.1038/s41598-025-19651-x,SCOPUS_ID:105019737994
10,How does the built environment affect driver behaviours? A methodological framework for large-scale analysis that combines Onboard Diagnostic and Geographical Data to promote Road Safety,Nicolosi V.,2025-12-01,22,,10.1016/j.treng.2025.100384,SCOPUS_ID:105014726641
11,Evaluation of snow-drifting influencing factors and susceptibility of transportation infrastructure lines,Li P.,2025-12-01,15,,10.1038/s41598-025-86207-4,SCOPUS_ID:85216439332
12,Women's perceived safety in public transport: Insights from the Middle East,Soltani A.,2025-12-01,129,,10.1016/j.jtrangeo.2025.104413,SCOPUS_ID:105015535274
13,Integrating climatic projections and geographical variables to predict road accident risks based on insights from the Khorramabad pole Zal axis under RCP scenarios,Moridi V.,2025-12-01,3,,10.1007/s44274-025-00417-1,SCOPUS_ID:105022444888
14,On the road to school: A naturalistic study of adolescent bicyclist route safety,Ghanbari A.,2025-12-01,95,1-9,10.1016/j.jsr.2025.08.006,SCOPUS_ID:105014529299
15,Analyzing pocket park locations and pedestrian accident rates using Generative Adversarial Networks,Li Y.,2025-12-01,167,,10.1016/j.cities.2025.106341,SCOPUS_ID:105013359620
16,Slower searching yields higher efficiency: A case study of taxi drivers,Li Q.,2025-11-04,122,,10.1073/pnas.2502965122,SCOPUS_ID:105020480321
17,Cognitive-Inspired Multimodal Learning Framework for Hazard Identification in Highway Construction with BIM–GIS Integration,Zhou J.,2025-11-01,17,,10.3390/su17219395,SCOPUS_ID:105021547489
18,"Evaluating the impact of meteorological parameters on road accidents using spatial analysis: a case study of Semnan province, Iran",Ghazvinian H.,2025-10-01,33,,10.1007/s41324-025-00645-w,SCOPUS_ID:105014717089
19,Analysis of Spatial and Environmental Factors Beyond Speed Limits Affecting Drivers’ Speed Choice,Baek J.,2025-10-01,17,,10.3390/su17209097,SCOPUS_ID:105020163704
20,A data-driven spatial decision framework for assessing the relationship between logistics activities and heavy vehicle accident risks,Kaya Ö.,2025-10-01,62,,10.1016/j.rtbm.2025.101440,SCOPUS_ID:105007877774
21,Early Response Framework for Accident Detection and Prevention Through Multi-Zone Fog-Cloud Collaboration for Safety-Critical Applications,Mishra M.,2025-09-01,55,1616-1634,10.1002/spe.3439,SCOPUS_ID:105009810872
22,"Evaluation of indicators of aging-friendly urban indicators in 8 districts of Ahwaz metropolitan, southwest Iran",Asadollahi A.,2025-09-01,7,,10.1007/s42452-025-07514-z,SCOPUS_ID:105014622949
23,Integrating UAV-based LiDAR and imaging data for semi-automated detection of water ponding in pavement networks,Shwan H.,2025-09-01,52,1732-1742,10.1139/cjce-2024-0539,SCOPUS_ID:105015333575
24,Deep Learning-Driven Pothole Dimension Analysis for Prioritizing Road Maintenance: A Comprehensive Framework,Bhosale S.B.,2025-08-07,,1-16,10.4018/979-8-3373-6335-6.ch001,SCOPUS_ID:105017839516
25,Spatial distribution and cluster analysis of road traffic accidents in Nepal,Mahato R.K.,2025-08-01,20,,10.1371/journal.pone.0331333,SCOPUS_ID:105014389867
26,The Settlement Ratio and Settled Area: Novel Indicators for Analyzing Land Use in Relation to Road Network Functions and Performance,Del Serrone G.,2025-08-01,6,,10.3390/eng6080188,SCOPUS_ID:105014353657
27,Forecasting spatiotemporal trends of road accidents injuries and fatalities using spatio-temporal cube models: a case study in Iran,Mousavi B.S.,2025-08-01,33,,10.1007/s41324-025-00630-3,SCOPUS_ID:105008971821
28,Introduction to special issue —Emerging applications of road incidents and driver behaviour data analysis in road safety modelling and evaluation,Mehran B.,2025-08-01,52,1488-1489,10.1139/cjce-2025-0204,SCOPUS_ID:105012894290
29,A Multimodal Artificial Intelligence Framework for Intelligent Geospatial Data Validation and Correction,Skaug L.,2025-08-01,10,,10.3390/inventions10040059,SCOPUS_ID:105015414876
30,A ships encounter sector analysis approach for intelligent navigation safety,Liu Z.,2025-07-30,333,,10.1016/j.oceaneng.2025.121307,SCOPUS_ID:105004822459
31,Optimising Cyclist Road-Safety Scenarios Through Angle-of-View Analysis Using Buffer and GIS Mapping Techniques,Yaghoobloo Z.,2025-07-01,10,,10.3390/infrastructures10070184,SCOPUS_ID:105011635939
32,A GIS-Based Safe System Approach for Risk Assessment in the Transportation of Dangerous Goods: A Case Study in Italian Regions,Tomasoni A.M.,2025-07-01,13,,10.3390/systems13070580,SCOPUS_ID:105011764033
33,A critical assessment of the role of mapping in Ohio Safe Routes to School travel plans,Mapes J.,2025-07-01,180,,10.1016/j.apgeog.2025.103670,SCOPUS_ID:105006704809
