id,Title,Author,Date,Volume,Pages,DOI,SCOPUS_ID
1,Correlates of Anxiety and Depression Among Youth in India: Findings from a Large-Scale Population-Based Cross-sectional Study,Saraswat N.,2026-12-01,26,,10.34172/jrhs.11330,SCOPUS_ID:105020730487
2,"Monthly rural-urban scaling of road accidents in England, Wales and Scotland (2019-2023)",Copsey I.,2026-05-01,516,,10.1016/j.amc.2025.129874,SCOPUS_ID:105024219202
3,Exploring weather-related factors affecting the duration of multiple congestion levels caused by traffic incidents using a multivariate joint frailty survival model,Liu Y.,2026-04-01,43,,10.1016/j.tbs.2025.101209,SCOPUS_ID:105024214714
4,Exploring the Potential and Utility of Graph Neural Networks in Crash Analysis and Safety Assessment,Ulak M.B.,2026-04-01,8,,10.1007/s42421-025-00144-2,SCOPUS_ID:105024231738
5,Designing the future of flight: A socio-technical framework for single-pilot operations in commercial aviation,Lopes N.M.,2026-04-01,132,,10.1016/j.jairtraman.2025.102939,SCOPUS_ID:105023380879
6,Analyzing heterogeneity in motorcycle crashes: a comparative study of senior and young riders using the random forest approach,Mohamad I.,2026-03-01,23,,10.1016/j.cstp.2025.101666,SCOPUS_ID:105023178538
7,DSSTN: Dynamic selective spatio-temporal modeling network for traffic flow prediction,Yang Y.,2026-03-01,299,,10.1016/j.eswa.2025.130297,SCOPUS_ID:105024197611
8,Do driver assistance systems mitigate passengers’ perceived risk when riding with a driver under the influence of alcohol? Evidence from a discrete choice experiment among youths,Biondi B.,2026-03-01,177,,10.1016/j.tranpol.2025.103940,SCOPUS_ID:105023859657
9,Assessing Road Safety Challenges in Rapidly Urbanizing Cities: A Fuzzy Logic and Factor Comparison Method Approach,Bhattacharya K.,2026-02-01,18,,10.1061/JLADAH.LADR-1368,SCOPUS_ID:105017568341
10,The effect of license plate number-based vehicle restrictions on crash frequency,Valencia-Cardenas M.C.,2026-02-01,225,,10.1016/j.aap.2025.108326,SCOPUS_ID:105022636436
11,Evaluating driver preferences between punitive and non-punitive speeding penalties: Results from a stated choice experiment,Theofilatos A.,2026-02-01,96,64-73,10.1016/j.jsr.2025.11.012,SCOPUS_ID:105023961384
12,Comparing idle times of public bicycles in Beijing's free-floating and Seoul's dock-based systems,Chung J.,2026-02-01,169,,10.1016/j.cities.2025.106564,SCOPUS_ID:105017975704
13,"An introduction to tunnel lighting: Basis, calculations, and future lines in the interface between safety and sustainability",Peña-García A.,2026-02-01,26,220-234,10.1016/j.undsp.2025.06.008,SCOPUS_ID:105024189499
14,A Systematic Review on Road Accident Prediction: A Special Attention Toward Machine Learning and Deep Learning Approaches,Verma R.,2026-01-30,35,,10.1142/S0218126625300090,SCOPUS_ID:105014969785
