id,Title,Author,Date,Volume,Pages,DOI,SCOPUS_ID
1,UAV-Based Transport Management for Smart Cities Using Machine Learning,Balivada S.,2025-10-01,8,,10.3390/smartcities8050154,SCOPUS_ID:105020191502
2,Driving Change: Leveraging Predictive Modeling and Geospatial Insights to Strengthen Road Safety Measures in India and USA,Balashivudu G.T.,2024-01-01,,,10.1109/ICCCNT61001.2024.10723942,SCOPUS_ID:85212862956
3,Road Traffic Flow Prediction with Visual Analytics,Datia N.,2024-01-01,1126,293-318,10.1007/978-3-031-46549-9_10,SCOPUS_ID:85192734601
4,Crowdsourced data for bicycling research and practice,Nelson T.,2021-01-01,41,97-114,10.1080/01441647.2020.1806943,SCOPUS_ID:85089482003
5,Decision Support System in GIS to Find Best Route,Alrhman A.M.A.,2019-12-01,,73-78,10.1109/CAS47993.2019.9075719,SCOPUS_ID:85084547636
6,Evaluation of VDOT's safety service patrols to improve response to incidents,Abrisqueta A.,2019-04-01,,,10.1109/SIEDS.2019.8735648,SCOPUS_ID:85068564318
7,ROCA – An ArcGIS toolbox for road alignment identification and horizontal curve radii computation,Bíl M.,2018-12-01,13,,10.1371/journal.pone.0208407,SCOPUS_ID:85059208061
8,Srazenazver.cz: A system for evidence of animal-vehicle collisions along transportation networks,Bíl M.,2017-09-01,213,167-174,10.1016/j.biocon.2017.07.012,SCOPUS_ID:85030451068
9,Development of a road hazard map considering meteorological factors,Hyung Joon K.,2017-06-01,35,133-144,10.7848/ksgpc.2017.35.3.133,SCOPUS_ID:85028429106
10,Exploring the Boundaries of Web Map Services: The Example of the Online Injury Atlas for Ontario,Rinner C.,2011-01-01,15,129-145,10.1111/j.1467-9671.2011.01247.x,SCOPUS_ID:79953316615
11,Singapore traffic information platform: Enabling traffic-aware applications & systems,Sindhwani M.,2010-01-01,,,,SCOPUS_ID:84953897048
