id,Title,Author,Date,Volume,Pages,DOI,SCOPUS_ID
1,STCAGNN-RNKDE: a traffic accident prediction model for spatiotemporal combinatorial attention graph neural networks using Ripley's K and network kernel density estimation,Gao P.,2026-01-01,265,,10.1016/j.ress.2025.111593,SCOPUS_ID:105013739920
2,Determining the Spatial and Temporal Distribution of Traffic Accidents Using GIS-based Data in Tabriz,Dianat I.,2025-12-01,20,219-232,10.18502/ijre.v20i4.18869,SCOPUS_ID:105013972142
3,A systematic review on GIS-based road traffic accidents analysis and road safety audit,Endashaw D.K.,2025-12-01,5,,10.1007/s43762-025-00221-w,SCOPUS_ID:105019196309
4,"Spatiotemporal modeling and mapping of traffic crashes using R programming and GIS: a case study of Bole sub city, Addis Ababa, Ethiopia",Haile M.N.,2025-12-01,15,,10.1038/s41598-025-19651-x,SCOPUS_ID:105019737994
5,"Trends and disparities in motor vehicle collision injuries in Washington, D.C",Calder R.S.D.,2025-12-01,223,,10.1016/j.aap.2025.108243,SCOPUS_ID:105016996123
6,"Spatiotemporal patterns and environmental determinants of wildlife-vehicle collisions in Banke National Park, Nepal",Koju N.P.,2025-12-01,15,,10.1038/s41598-025-04609-w,SCOPUS_ID:105007185282
7,Spatial-temporal analysis of roe deer vehicle collisions in Bavaria,Reisinger F.,2025-11-01,394,,10.1016/j.jenvman.2025.127507,SCOPUS_ID:105018168434
8,Real-Time Detection of Rear Car Signals for Advanced Driver Assistance Systems Using Meta-Learning and Geometric Post-Processing,Tammisetti V.,2025-11-01,15,,10.3390/app152211964,SCOPUS_ID:105023195816
9,Traffic sign detection algorithm with multi-layer fusion and intra-layer emphasis,Li R.,2025-11-01,19,,10.1007/s11760-025-04563-0,SCOPUS_ID:105011744246
10,Transfer learning-based facial emotion detection for enhanced driver safety: a hybrid approach,Slimi S.,2025-09-30,7,,10.1088/2631-8695/adfa6b,SCOPUS_ID:105014400362
11,"Evaluation of indicators of aging-friendly urban indicators in 8 districts of Ahwaz metropolitan, southwest Iran",Asadollahi A.,2025-09-01,7,,10.1007/s42452-025-07514-z,SCOPUS_ID:105014622949
12,Evaluating the efficiency of spatial-geographical models for vehicle crash frequency estimation: A case study on the urban road network of hamadan province,Almasi S.A.,2025-09-01,21,,10.1016/j.treng.2025.100362,SCOPUS_ID:105009733237
13,Enhancing Intelligent Transportation Systems in Smart Cities Using VANETs With Deep Reinforcement Transfer Learning and Explainable AI,Ramesh S.S.S.,2025-08-01,36,,10.1002/ett.70219,SCOPUS_ID:105011815307
14,Pushing the boundary of child well-being: A spatial examination of child mortality in transition zones of extreme economic inequality and material hardship,Barboza-Salerno G.E.,2025-08-01,20,,10.1371/journal.pone.0330449,SCOPUS_ID:105014114605
15,Using Wildlife-Vehicle Collision Records to Inform Wildlife Corridor Planning,Villamagna A.,2025-08-01,75,2103-2115,10.1007/s00267-025-02214-1,SCOPUS_ID:105008309670
16,Predictive Models and GIS for Road Safety: Application to a Segment of the Chone–Flavio Alfaro Road,Moreno-Ponce L.A.,2025-06-01,17,,10.3390/su17115032,SCOPUS_ID:105007791888
17,An investigation of pre-stimulus eeg for prediction of driver reaction time,Ur Rahman S.,2025-05-30,11,,10.1088/2057-1976/adbf25,SCOPUS_ID:105000466891
18,Spatio–temporal analysis of traffic crash hotspots- an application of GIS-based technique in road safety,Choudhary A.,2025-03-01,17,129-146,10.1007/s12518-025-00615-9,SCOPUS_ID:105001075373
19,Evaluating spatial effect of transportation planning factors on taxi CO2 emissions,Peng Z.,2025-01-10,959,,10.1016/j.scitotenv.2024.178142,SCOPUS_ID:85212548707
20,"Identification of Road Traffic Crash Blackspots on National and State Highways in Trivandrum, India Using Kernel Density Estimation",Anil A.B.,2025-01-01,622,71-81,10.1007/978-981-96-1988-7_6,SCOPUS_ID:105006744961
21,"IDENTIFICATION OF ROAD CRASH ZONES, SPATIAL PATTERNS, AND EMERGING HOT SPOTS OF ROAD TRAFFIC INJURY SEVERITY IN PHUKET, THAILAND",Sae-Ngow P.,2025-01-01,60,1067-1077,10.30892/gtg.602spl04-1480,SCOPUS_ID:105010437673
22,"Spatial Analysis of Traffic Accidents that Involve Young Drivers in Santiago, Chile",Morales I.,2025-01-01,,,10.18687/LACCEI2025.1.1.847,SCOPUS_ID:105019309443
23,"Exploring hotspots of traffic accidents in Chiniot-Sargodha Road, Punjab, Pakistan",Ashraf T.,2025-01-01,,,10.1007/s10668-025-05996-w,SCOPUS_ID:85217441536
24,A Robust Geographically Optimal Zones-based heterogeneity model for analyzing the spatial determinants of national traffic accidents,Luo H.,2025-01-01,62,,10.1080/15481603.2024.2448283,SCOPUS_ID:85214010041
25,Identifying unsafe locations for pedestrians in Konya with spatio-temporal analyses,Bilim A.,2025-01-01,156,,10.1016/j.cities.2024.105523,SCOPUS_ID:85207566679
26,"Identification and Prioritization of Accident Blackspots in Surat, India, Using Geographical Information Systems",Mahajan M.,2025-01-01,655,253-267,10.1007/978-981-96-8118-1_17,SCOPUS_ID:105021832265
27,"Integrating Road Safety Risk Index with Geo-Mapping for Enhancing Road Safety in Nagpur, India",Awasthi P.R.,2025-01-01,622,15-28,10.1007/978-981-96-1988-7_2,SCOPUS_ID:105006810299
28,"Crashes, Congestion, and Air Quality: Unraveling NOx Emission Patterns in Texas",Jaikumar R.,2025-01-01,,,10.1177/03611981251374998,SCOPUS_ID:105019615352
29,"Spatio-Temporal Analyses of Pedestrian Accidents Using Time Series and Differential Moran’s I, Case Study: Mashhad",Shahri M.,2025-01-01,17,79-108,10.48308/gisj.2024.228548.1112,SCOPUS_ID:105009376877
30,Analysis of Road Accidents in Colombia: Departmental Patterns and Trends from Vehicle Records,Mora Chacón K.F.,2025-01-01,30,,10.14483/23448393.23371,SCOPUS_ID:105023385650
31,"Spatial database creation and spatial analysis of road traffic crashes in the Ashanti region, Ghana",Asamoah E.A.,2025-01-01,3,,10.1016/j.aftran.2025.100041,SCOPUS_ID:105014965465
32,MSDA-Net: Multiscale Spatiotemporal Dual-Attention Network for EEG-Based Driver Fatigue Detection,Bello I.,2025-01-01,,,10.1111/jsr.70230,SCOPUS_ID:105020441448
33,Alert Drive: Enhancing Road Safety with Deep Learning,Das S.,2025-01-01,1381 LNEE,17-28,10.1007/978-981-96-3644-0_2,SCOPUS_ID:105013738402
34,Capturing signals of road traffic safety risk: based on the spatial-temporal correlation between traffic violations and crashes,Zhang R.,2025-01-01,26,557-566,10.1080/15389588.2024.2427270,SCOPUS_ID:85210764760
35,A Comparative Study of Classical Spectral and Spatial Feature Extraction Methods for Fatigue Detection via EEG Signals,Zahid A.M.,2025-01-01,,,10.1109/ISAS66241.2025.11101841,SCOPUS_ID:105014933075
36,Collecting population-representative bike-riding GPS data to understand bike-riding activity and patterns using smartphones and Bluetooth beacons,Bhowmick D.,2025-01-01,38,,10.1016/j.tbs.2024.100919,SCOPUS_ID:85205972956
110,Predicting Road Crash Severity Using Classifier Models and Crash Hotspots,Islam M.K.,2022-11-01,12,,10.3390/app122211354,SCOPUS_ID:85142846408
37,Seasonal Impact on Cycling Accidents: Exploring Cognitive Abilities and Black Spot Distribution,Sipos T.,2025-01-01,1345 LNNS,138-147,10.1007/978-3-031-87620-2_13,SCOPUS_ID:105004253031
38,Enhancing Emergency Response in Road Accidents: A Severity Prediction Framework Using RF-RFE and Deep Learning Model,Chaoura C.,2025-01-01,13,136927-136944,10.1109/ACCESS.2025.3592609,SCOPUS_ID:105011857960
39,"A linear tessellation model for the identification of “food desert”: A case study of Shanghai, China",Wang L.,2025-01-01,20,,10.1371/journal.pone.0317003,SCOPUS_ID:85216328912
40,"Spatio-temporal hotspots of wildlife-vehicle collisions in Poland: How congruent are mammals, birds, reptiles and amphibians?",Morelli F.,2024-12-20,957,,10.1016/j.scitotenv.2024.177485,SCOPUS_ID:85208763972
41,A spatial autocorrelation analysis of road traffic accidents by severity using Moran’s I spatial statistics: a study from Nepal 2019–2022,Mahato R.K.,2024-12-01,24,,10.1186/s12889-024-20586-7,SCOPUS_ID:85208739370
42,Post COVID-19 Transformation in the Frequency and Location of Traffic Crashes Involving Older Adults,Soltani A.,2024-12-01,2678,493-511,10.1177/03611981231163866,SCOPUS_ID:85184505129
43,Long-term plume-chasing measurements: Emission characteristics and spatial patterns of heavy-duty trucks in a megacity,Yang P.,2024-11-15,361,,10.1016/j.envpol.2024.124819,SCOPUS_ID:85203249271
44,Portraying on-road CO2 concentrations using street view panoramas and ensemble learning,Zhang Y.,2024-10-10,946,,10.1016/j.scitotenv.2024.174326,SCOPUS_ID:85197314891
45,Estimating the effectiveness of marked sidewalks: An application of the spatial causality approach,Putra I.G.B.,2024-10-01,206,,10.1016/j.aap.2024.107699,SCOPUS_ID:85198560216
