id,Title,Author,Date,Volume,Pages,DOI,SCOPUS_ID
1,A cross-scale traffic-communication control framework for improving safety through proactive congestion mitigation in mixed traffic,Wu Z.,2026-03-01,226,,10.1016/j.aap.2025.108339,SCOPUS_ID:105023825723
2,"Detection of driver maneuvers using a modular, low-cost sensor device",Pourkhaksar A.,2026-01-15,257,,10.1016/j.measurement.2025.118864,SCOPUS_ID:105015045729
3,"24th IFIP WG 6.11 Conference on e-Business, e-Services and e-Society, I3E 2025",,2026-01-01,16079 LNCS,,,SCOPUS_ID:105019194933
4,Driver Safety Enhancement Using Computer Vision and Embedded for Effective Drowsiness Detection,Sridhar P.,2026-01-01,643 LNICST,150-163,10.1007/978-3-031-99939-0_12,SCOPUS_ID:105020168584
5,Effect of age and driving experience on road sign comprehension: a systematic review and meta-analysis of two decades,Mustapha A.,2025-12-01,89,,10.1007/s00426-025-02207-z,SCOPUS_ID:105021067805
6,Implementing an integrated psychological and physical intervention in routine physiotherapy practice for patients with musculoskeletal road traffic injury: protocol for a hybrid implementation-effectiveness type III cluster randomised controlled trial,Sterling M.,2025-12-01,20,,10.1186/s13012-025-01464-1,SCOPUS_ID:105023286200
7,Domain-enhanced dual-branch model for efficient and interpretable accident anticipation,Guan Y.,2025-12-01,5,,10.1016/j.commtr.2025.100214,SCOPUS_ID:105018475116
8,Assessing the effectiveness of driver training interventions in improving safe engagement with vehicle automation systems,Zhang C.,2025-12-01,95,197-210,10.1016/j.jsr.2025.10.003,SCOPUS_ID:105018297623
9,A systematic review of the safe routes to school program: A 10-principle policy effectiveness framework for future investments,Yuan M.,2025-12-01,174,,10.1016/j.tranpol.2025.103846,SCOPUS_ID:105023499590
10,Exploring the impact of driver feedback on safety: A systematic review of studies in real-world driving conditions,Kontaxi A.,2025-10-01,114,118-140,10.1016/j.trf.2025.05.028,SCOPUS_ID:105006875741
11,Beyond vision: A unified transformer with bidirectional attention for predicting driver perceived risk from multi-modal data,Liu D.,2025-10-01,179,,10.1016/j.trc.2025.105270,SCOPUS_ID:105010207443
12,Advancing Online Road Safety Education: A Gamified Approach for Secondary School Students in Belgium,Nawaz I.,2025-08-01,15,,10.3390/app15158557,SCOPUS_ID:105013087784
13,Driving simulator analysis of the first time driving on a diverging diamond interchange,Valdés D.M.,2025-08-01,218,,10.1016/j.aap.2025.108084,SCOPUS_ID:105004259457
14,ArticuBEVSeg: Road Semantic Understanding and its Application in Bird’s Eye View From Panoramic Vision System of Long Combination Vehicles,Liu W.,2025-07-01,10,6864-6871,10.1109/LRA.2025.3573170,SCOPUS_ID:105005993839
15,Real-time coaching programs for Manage-How-You-Drive insurance schemes: Analysis of retention after feedback removal,Orsini F.,2025-06-01,20,,10.1016/j.treng.2025.100338,SCOPUS_ID:105004802616
16,That resonated with me: A user-centred approach to understanding young adult vulnerable road users’ road safety campaigns messaging needs—Case study,Tyagi S.,2025-05-01,31,,10.1016/j.trip.2025.101430,SCOPUS_ID:105004202246
17,Variable speed limit control for expressway accident vicinity area in intelligent connected environment,Wang Y.J.,2025-05-01,45,152-162,10.19721/j.cnki.1671-8879.2025.03.013,SCOPUS_ID:105008391402
