id,Title,Author,Date,Volume,Pages,DOI,SCOPUS_ID
1,"Patterns, Causes, and Mortality Trends of Road Traffic Accidents in Hamedan Province, Iran: A Spatiotemporal Epidemiological Analysis (2011–2024)",Jalili E.,2026-12-01,26,,10.34172/jrhs.11510,SCOPUS_ID:105020826478
2,"Monthly rural-urban scaling of road accidents in England, Wales and Scotland (2019-2023)",Copsey I.,2026-05-01,516,,10.1016/j.amc.2025.129874,SCOPUS_ID:105024219202
3,Effect of COVID-19 restrictions and fuel prices on traffic volume and offenses in Iran: A spatiotemporal analysis,Delavary M.,2025-10-01,20,,10.1371/journal.pone.0332443,SCOPUS_ID:105019520337
4,Segment length optimization for crash frequency modelling: Evaluating power spectral segment length in safety performance assessment,Kumar P.,2025-09-01,219,,10.1016/j.aap.2025.108122,SCOPUS_ID:105006530813
5,Nonlinear Effects of Multiscale Road Network Features on Traffic Accidents,Zhou F.,2025-08-01,45,1344-1357,10.13284/j.cnki.rddl.20240777,SCOPUS_ID:105015828701
6,Dataset for Traffic Accident Analysis in Poland: Integrating Weather Data and Sociodemographic Factors,Faruga Ł.,2025-07-01,15,,10.3390/app15137362,SCOPUS_ID:105010303853
7,Explainable artificial intelligence visions on incident duration using eXtreme Gradient Boosting and SHapley Additive exPlanations,Hamad K.,2025-06-01,4,,10.1016/j.multra.2025.100209,SCOPUS_ID:86000609063
8,Can tire wear be detected using vibration signals?–an experimental study,Prasshanth C.V.,2025-05-01,16,1899-1913,10.1007/s13198-025-02756-x,SCOPUS_ID:105001963016
9,"Modelling low temporal, large spatial data of fatal crashes: An application of negative binomial GSARIMAX time series",Ghalehnovi S.,2025-05-01,214,,10.1016/j.aap.2025.107958,SCOPUS_ID:85217777281
10,Analyzing Traffic Accident Trends and Correlations in Iraq: An Investigative Statistical Approach,Hassooni D.K.,2025-03-31,3303,,10.1063/5.0264564,SCOPUS_ID:105002311605
11,"Machine Learning Regression Model Development and Data Visualization of Road Accident in Urdaneta City, Pangasinan, Philippines",Dorado D.,2025-03-05,,27-32,10.1145/3690771.3690785,SCOPUS_ID:105001161688
12,"Exploring and identification of road traffic crash hotspots in Kigali-city, Rwanda",Jean de Dieu G.,2025-01-01,30,454-470,10.1080/13588265.2024.2406972,SCOPUS_ID:85205529113
13,Tire Pressure Monitoring System Using Feature Fusion and Family of Lazy Classifiers,Pandey A.,2025-01-01,7,,10.1002/eng2.13057,SCOPUS_ID:85210386339
14,Exploring Accident Frequency Using Explainable AI: a Case Study of the Central Section of National Freeway No.1 in Taiwan,Yang M.C.,2025-01-01,,,10.1109/ECTI-CON64996.2025.11101022,SCOPUS_ID:105014434053
15,Next-Generation Safety using a Continuous HMM Method for Automatic Accident Detection,Rao S.P.C.,2025-01-01,,,10.1109/ICDSIS65355.2025.11071232,SCOPUS_ID:105011824171
16,Traffic conflict analysis in continuous confluence area of cross-river bridge driven by vehicle trajectory data,Wang J.,2025-01-01,26,102-110,10.1080/15389588.2024.2385585,SCOPUS_ID:85201223561
17,Who initiates the automated vehicle disengagement—humans or automated driving systems?,Moradloo N.,2025-01-01,,,10.1080/15472450.2025.2474406,SCOPUS_ID:86000217022
18,STARTING DRIVING STYLE RECOGNITION OF ELECTRIC CITY BUS BASED ON DEEP LEARNING AND CAN DATA,Zhao D.,2024-11-21,39,229-239,10.3846/transport.2024.22749,SCOPUS_ID:85215095172
19,Estimating global 0.1° scale gridded anthropogenic CO2 emissions using TROPOMI NO2 and a data-driven method,Zhang Y.,2024-11-01,949,,10.1016/j.scitotenv.2024.175177,SCOPUS_ID:85200245112
20,Risk prediction model for distracted driving: Characterizing interactions of eye glances and manual sequences,Li S.,2024-10-01,37,,10.1016/j.tbs.2024.100851,SCOPUS_ID:85196484585
21,Machine learning modeling of pavement performance and IRI prediction in flexible pavement,Alnaqbi A.,2024-10-01,9,,10.1007/s41062-024-01688-y,SCOPUS_ID:85203985794
22,VisUAM: A web-based tool for data visualization in scientific research,Pérez-Espinosa A.,2024-09-01,27,,10.1016/j.softx.2024.101852,SCOPUS_ID:85201709230
23,Multi-Index Driver Drowsiness Detection Method Based on Driver’s Facial Recognition Using Haar Features and Histograms of Oriented Gradients,Quiles-Cucarella E.,2024-09-01,24,,10.3390/s24175683,SCOPUS_ID:85203865916
24,"Global, regional, national trends of femur fracture and machine learning prediction: Comprehensive findings and questions from global burden of disease 1990–2019",Wu J.,2024-05-01,46,46-52,10.1016/j.jot.2024.03.002,SCOPUS_ID:85193247417
25,Assessment of the Effect of Road Infrastructure on Traffic Accidents Based on the Fuzzy Linear Regression Method,Muratova M.A.,2024-01-01,846,221-235,10.1007/978-3-031-49390-4_16,SCOPUS_ID:85197913460
26,Road Accidents Forecasting: An Uncertainty Quantification Model for Pre-disaster Management in Moroccan Context,Raillani H.,2024-01-01,,225-244,10.1007/978-3-031-47036-3_20,SCOPUS_ID:85175974969
27,Developing a spatio-temporal interactions model for car crashes using a novel data-driven AHP-TOPSIS,Ghezelbash S.,2024-01-01,162,,10.1016/j.apgeog.2023.103151,SCOPUS_ID:85177834768
28,Moving vision zero programs forward: What pedestrian-focused countermeasure combinations work best and where? A dynamic copula-based time-series approach,Ghomi H.,2023-11-01,192,,10.1016/j.aap.2023.107229,SCOPUS_ID:85169838308
29,Nonlinear Time Series Analysis and Prediction of General Aviation Accidents Based on Multi-Timescales,Wang Y.,2023-08-01,10,,10.3390/aerospace10080714,SCOPUS_ID:85168667241
30,Robust visual detection of brake-lights in front for commercialized dashboard camera,Moon J.,2023-08-01,18,,10.1371/journal.pone.0289700,SCOPUS_ID:85167761096
31,"Trends in alcohol-impaired crashes in California, 2016 to 2021: A time series analysis for alcohol involvement and crash distribution among demographic subgroups",Mehranbod C.A.,2023-06-01,47,1119-1131,10.1111/acer.15091,SCOPUS_ID:85158153596
32,A Spatial-Reduction Attention-Based BiGRU Network for Water Level Prediction,Bao K.,2023-04-01,15,,10.3390/w15071306,SCOPUS_ID:85152859663
33,Machine Learning Methods to Analyze and Predict Crash Injury Severity Based on Contributing Factors for Southeast Michigan,Cai X.,2023-03-01,2677,83-94,10.1177/03611981221113569,SCOPUS_ID:85153344064
34,Analysis of the impact of expressway construction on soil moisture in road areas,Li Y.,2023-03-01,18,,10.1371/journal.pone.0283225,SCOPUS_ID:85151397224
35,LSTM Road Traffic Accident Prediction Model Based on Attention Mechanism,Wang S.,2023-01-01,,215-219,10.1109/ICCCBDA56900.2023.10154750,SCOPUS_ID:85164666148
