id,Title,Author,Date,Volume,Pages,DOI,SCOPUS_ID
1,Instructor-Led VR training in medical emergency rescue education for road traffic accidents: a questionnaire-based study,Li Z.,2025-12-01,15,,10.1038/s41598-025-15258-4,SCOPUS_ID:105013318919
2,"Intrathecal Drug Delivery for Intractable Pain: Identified Patient Satisfaction Survey Study Comparing Intrathecal Dose With Satisfaction, Pain Relief, and Side Effects",Schultz D.M.,2025-10-01,28,1059-1069,10.1016/j.neurom.2024.11.006,SCOPUS_ID:85213949826
3,Assessment of Traffic Sign Visibility in Various Conditions,Naskar A.K.,2025-09-01,106,891-905,10.1007/s40030-025-00909-6,SCOPUS_ID:105009869674
4,Spatiotemporal graph learning driven by multivariate KAN for urban road network traffic prediction,Zhang A.,2025-07-01,81,,10.1007/s11227-025-07671-3,SCOPUS_ID:105012028273
5,"Analyzing feature importance for older pedestrian crash severity: A comparative study of DNN models, emphasizing road and vehicle types with SHAP interpretation",Akter R.,2025-06-01,4,,10.1016/j.multra.2025.100203,SCOPUS_ID:105000664659
6,Comparing AI and human-generated health messages in an Arabic cultural context,Hussain S.A.,2025-01-01,18,,10.1080/16549716.2025.2464360,SCOPUS_ID:85218950376
7,Foggy day target image detection based on Radon transform and feature space decision,Li D.,2025-01-01,,,10.1080/15472450.2025.2478467,SCOPUS_ID:105000900739
8,Injury severity prediction and exploration of behavior-cause relationships in automotive crashes using natural language processing and extreme gradient boosting,Shao Y.,2024-07-01,133,,10.1016/j.engappai.2024.108542,SCOPUS_ID:85191959186
9,"Effectiveness of signs for pedestrian-railroad crossings: Colors, shapes, and messaging strategies",Ahmed J.,2024-06-01,89,141-151,10.1016/j.jsr.2024.01.003,SCOPUS_ID:85184234068
10,Predicting road accidents in smart cities: machine learning approach for enhancedsafety,Doroshenko A.,2024-01-01,3861,122-136,,SCOPUS_ID:85213384543
11,Increasing Understanding of Legal Responsibilities in Ship Accidents (Study at Sinar Bahari Palembang Shipping Vocational School),Nugraha A.,2023-05-31,6,17-48,10.15294/jphi.v6i1.60759,SCOPUS_ID:85218173210
12,Designing road sign symbols,Dewar R.,2023-04-01,94,466-491,10.1016/j.trf.2022.12.008,SCOPUS_ID:85151923053
13,Budget-Aware Road Semantic Segmentation in Unseen Foggy Scenes,To T.H.,2023-01-01,,171-176,10.1109/RIVF60135.2023.10471866,SCOPUS_ID:85190110370
14,"A Video-Based, Eye-Tracking Study to Investigate the Effect of eHMI Modalities and Locations on Pedestrian–Automated Vehicle Interaction",Guo F.,2022-05-01,14,,10.3390/su14095633,SCOPUS_ID:85130108212
15,An Imperious Verdict for the Recognition of Vehicles Number-Plate Using an Innovative Methodology,Sunil A.,2022-01-01,,46-50,10.1109/ICPS55917.2022.00016,SCOPUS_ID:85142861654
16,The prevention of – and first response to – injuries in Nepal: a review of policies and legislation,Pant P.R.,2021-12-01,19,,10.1186/s12961-021-00686-1,SCOPUS_ID:85104485276
17,Improved Single Haze Removal Algorithm Based on Color Attenuation Prior,Liu L.,2021-01-01,,1166-1170,10.1109/ICIBA52610.2021.9687882,SCOPUS_ID:85126860643
18,Evaluating the effectiveness of perceptual treatments on sharp curves: a driving simulator study,Calvi A.,2019-11-25,20,S13-S19,10.1080/15389588.2019.1669789,SCOPUS_ID:85077198698
19,Preference for map scale of in-car route guidance and navigation system,Ramos A.,2016-01-01,22,472-491,10.1590/S1982-21702016000300027,SCOPUS_ID:84991449224
20,Effectiveness of graphic-aided portable changeable message signs in reducing vehicle speeds in highway work zones,Huang Y.,2014-12-01,48,311-321,10.1016/j.trc.2014.09.007,SCOPUS_ID:84907812531
21,An evaluation of the effectiveness of televised road safety messages in Ghana,Blantari J.,2005-01-01,12,23-29,10.1080/17457300512331342199,SCOPUS_ID:22144443864
22,Safety auditing roundabouts,Lenters M.,2004-01-01,,,,SCOPUS_ID:84898418154
23,Cost effectiveness in trauma care,Elliott D.C.,1996-01-01,76,47-62,10.1016/S0039-6109(05)70421-7,SCOPUS_ID:0030038213
