id,Title,Author,Date,Volume,Pages,DOI,SCOPUS_ID
1,An Analytical Framework for Clustering Roads Based on Crash Severity Analysis,khedher I.,2025-08-01,6,,10.1007/s42979-025-04097-9,SCOPUS_ID:105008937663
2,The Dashboard of Remote Monitoring System for Driver Fatigue,Hidayat R.N.,2025-06-01,58,1089-1100,10.18280/jesa.580601,SCOPUS_ID:105012209983
3,Children on wheels: Identifying crash determinants using cluster correspondence analysis,Chakraborty R.,2025-06-01,216,,10.1016/j.aap.2025.108025,SCOPUS_ID:105002130690
4,Towards Enhancing Road Safety in South Carolina Using Insights from Traffic and Driver-Education Data,Gupta N.,2025-04-11,39,29385-29387,10.1609/aaai.v39i28.35260,SCOPUS_ID:105003902256
5,Driver-Centric Design: Empirical Strategies for Optimizing the Visualization of Driving Information on Vehicle Liquid Crystal Display Dashboards,Lin J.L.,2025-01-01,13,67334-67349,10.1109/ACCESS.2025.3560681,SCOPUS_ID:105003759710
6,Visualization Service System for Ship Trajectory Prediction Based on Multi-Source Data Fusion,Huang L.,2025-01-01,,1929-1936,10.1109/ICTIS68762.2025.11214801,SCOPUS_ID:105022479929
7,Tableau Driven Insights and Trends of Road Accidents in Kerala from 2018 to 2023,Tejaswi K.,2025-01-01,,,10.1109/ICCC64910.2025.11077297,SCOPUS_ID:105012776236
8,Machine Learning-based Predictive Framework for Road Accident Severity Classification and Real-Time Risk Assessment,Kumar V.A.,2025-01-01,,1038-1044,10.1109/ICVADV63329.2025.10961401,SCOPUS_ID:105004406142
9,Dual Space DTR-net Learning based Heart Disease Prediction,Maragatham T.,2025-01-01,,1464-1471,10.1109/IDCIOT64235.2025.10914786,SCOPUS_ID:105001664014
10,An Association Rule Mining-Based Modeling Framework for Characterizing Urban Road Traffic Accidents,Du L.,2024-12-01,16,,10.3390/su162310597,SCOPUS_ID:85212223029
11,Diagnostic laparoscopy with indocyanine green fluorescence test for the evaluation of intestinal perfusion in abdominal blunt injury: a case report,Li Z.R.,2024-12-01,17,,10.1186/s12245-024-00684-4,SCOPUS_ID:85202064876
12,Risk prediction model for distracted driving: Characterizing interactions of eye glances and manual sequences,Li S.,2024-10-01,37,,10.1016/j.tbs.2024.100851,SCOPUS_ID:85196484585
13,Driving Change: Leveraging Predictive Modeling and Geospatial Insights to Strengthen Road Safety Measures in India and USA,Balashivudu G.T.,2024-01-01,,,10.1109/ICCCNT61001.2024.10723942,SCOPUS_ID:85212862956
14,Efficient Route Prediction Using ML Algorithm,Sobiya R.,2024-01-01,,,10.1109/ICCDS60734.2024.10560450,SCOPUS_ID:85197936100
15,Road Traffic Flow Prediction with Visual Analytics,Datia N.,2024-01-01,1126,293-318,10.1007/978-3-031-46549-9_10,SCOPUS_ID:85192734601
16,Integrating Google Maps and Deep Learning in Path Hole Detection Alert System,Sophia S.,2024-01-01,,1006-1012,10.1109/ICPCSN62568.2024.00168,SCOPUS_ID:85201685006
17,A GIS-Based Damage Evaluation Method for Explosives Road Transportation Accidents,Zhao J.,2023-12-01,12,,10.3390/ijgi12120470,SCOPUS_ID:85180691743
18,Identification of Road Crashes Characteristics using Data Visualization for Sustainable Campus,Mohd Nusa F.N.,2023-11-02,2983,,10.1063/5.0178661,SCOPUS_ID:85178030302
19,Robust visual detection of brake-lights in front for commercialized dashboard camera,Moon J.,2023-08-01,18,,10.1371/journal.pone.0289700,SCOPUS_ID:85167761096
20,Roadcast: A Vehicle Incident Management System and Forecasting Implementing Moving Average,Abuan K.F.A.,2023-01-01,579,9-18,10.1007/978-981-19-7663-6_2,SCOPUS_ID:85149956960
21,Drowsiness Detection System,Oommen A.B.,2023-01-01,,424-427,10.1109/ICSCC59169.2023.10334941,SCOPUS_ID:85181403903
22,Vehicle health monitoring and accident avoidance system based on IoT model,Muthumanickam A.,2023-01-01,44,2561-2576,10.3233/JIFS-222719,SCOPUS_ID:85148056284
23,ViewClassifier: Visual Analytics on Performance Analysis for Imbalanced Fatal Accident Data,Alicioglu G.,2022-01-01,296,481-501,10.1007/978-3-030-82199-9_32,SCOPUS_ID:85113786933
24,Geo VISER: A Geospatial Data Visualization Platform,Yulong B.,2022-01-01,,1318-1325,10.1109/PRAI55851.2022.9904184,SCOPUS_ID:85141216684
25,Visual Analytics on Maritime Traffic Accidents in Tianjin Port,Qinyu C.,2022-01-01,,3201-3205,,SCOPUS_ID:85141897806
26,Beyond a three-dimensional digital rescue sheet,Deserno T.M.,2021-10-07,,,10.1109/ICECCME52200.2021.9590849,SCOPUS_ID:85119448454
