id,Title,Author,Date,Volume,Pages,DOI,SCOPUS_ID
1,Self-management of lower extremity fracture patients: A concept analysis review,Nur A.,2026-04-01,9,,10.31893/multirev.2026187,SCOPUS_ID:105018117184
2,Pharmacopuncture for patients with psychological stress caused by traffic accidents: A pragmatic randomized controlled pilot trial,Son J.Y.,2026-03-01,15,,10.1016/j.imr.2025.101251,SCOPUS_ID:105015185484
3,A frequency-attentive spatio-temporal convolutional neural network with weighted feature fusion for EEG-based driver fatigue detection,Bello I.,2026-03-01,113,,10.1016/j.bspc.2025.108979,SCOPUS_ID:105020970120
4,Do colored lane markings improve road safety? Causal evidence from Seoul,Lee S.,2026-03-01,226,,10.1016/j.aap.2025.108336,SCOPUS_ID:105023952566
5,Automated geolocalization of vehicles from UAV footage: evaluating measurement precision of object detection and segmentation methods,Ahmed M.W.,2026-03-01,18,,10.1007/s12518-025-00662-2,SCOPUS_ID:105020757138
6,A cross-scale traffic-communication control framework for improving safety through proactive congestion mitigation in mixed traffic,Wu Z.,2026-03-01,226,,10.1016/j.aap.2025.108339,SCOPUS_ID:105023825723
7,Analyzing heterogeneity in motorcycle crashes: a comparative study of senior and young riders using the random forest approach,Mohamad I.,2026-03-01,23,,10.1016/j.cstp.2025.101666,SCOPUS_ID:105023178538
8,SET-DGCN: An end-to-end electroencephalography-based fatigue detection method for young drivers,Cao Y.,2026-02-01,225,,10.1016/j.aap.2025.108311,SCOPUS_ID:105021606484
9,A data-driven digital twin model for bridge health monitoring using feature fusion and unsupervised deep learning,Mousavi V.,2026-02-01,126,,10.1016/j.inffus.2025.103534,SCOPUS_ID:105011582702
10,Why do drivers brake later than AEB in rear-end collisions? An analysis based on drive recorder videos,Zhao Y.,2026-02-01,225,,10.1016/j.aap.2025.108275,SCOPUS_ID:105022210217
11,Factors associated with venous thromboembolism in hospitalized traumatic brain injury patients with external ventricular drains: Retrospective cohort study,Bonney P.A.,2026-02-01,261,,10.1016/j.clineuro.2025.109265,SCOPUS_ID:105023186778
12,Evaluation of railway intelligent transportation systems to construct safer railway transport systems with a novel decision-making model,Görçün Ö.F.,2026-02-01,176,,10.1016/j.tranpol.2025.103897,SCOPUS_ID:105022940091
13,Polynomial gated network: An intelligent classification method for driver fatigue based on EEG analysis,Huangfu C.,2026-01-15,257,,10.1016/j.measurement.2025.118973,SCOPUS_ID:105015608640
14,Polarization imaging for visibility enhancement of targets in Dense Sea Fog,Jia Q.,2026-01-15,257,,10.1016/j.measurement.2025.118557,SCOPUS_ID:105012388226
15,"Detection of driver maneuvers using a modular, low-cost sensor device",Pourkhaksar A.,2026-01-15,257,,10.1016/j.measurement.2025.118864,SCOPUS_ID:105015045729
16,An enhanced FMEA based risk analysis for ship fire safety incorporating the dynamic consensus reaching process with bounded confidence opinion dynamics,Huang A.,2026-01-15,343,,10.1016/j.oceaneng.2025.123318,SCOPUS_ID:105023828624
17,Enhancing Road Safety: A Real-Time Solution for Traffic Accident Reporting and Road Condition Monitoring,Georgiou S.,2026-01-01,16079 LNCS,83-95,10.1007/978-3-032-06164-5_7,SCOPUS_ID:105019175900
18,Application of the dual-model interpretability framework of XGBoost-SHAP and GAT-GNNExplainer to investigate the impact of the built environment on traffic accidents at intersections,Chen Y.,2026-01-01,224,,10.1016/j.aap.2025.108305,SCOPUS_ID:105020965340
19,Decision Support System for Urban Road Safety: A Comparison Between Two Different City Size,Pinna M.,2026-01-01,15889 LNCS,54-71,10.1007/978-3-031-97603-2_4,SCOPUS_ID:105011051121
20,Improving Road Safety: Examining How Drowsiness Detection Technologies Affect the Reduction of Accidents,Kumar S.,2026-01-01,1452 LNNS,107-121,10.1007/978-981-96-7292-9_10,SCOPUS_ID:105020570036
21,Monitoring National Road Safety Strategies in the EU,Yannis G.,2026-01-01,Part F903,396-402,10.1007/978-3-031-88974-5_58,SCOPUS_ID:105015335060
22,Use of Accident Prediction Models in Road Safety Management – An Irish Case Study,Harpham N.,2026-01-01,Part F903,209-214,10.1007/978-3-031-88974-5_30,SCOPUS_ID:105015313347
23,Is road safety effective in promoting eco-driving? An experiment on how benefit framing affects eco-driving intentions among Montreal drivers,St-Arnaud V.C.,2026-01-01,116,,10.1016/j.trf.2025.103372,SCOPUS_ID:105016582067
24,Development of a Decision Support Tool for Safety in Transit Assessment at Stations: A Case Study of Bangkok's Suburban Rail Stations,Sripathomswat K.,2026-01-01,2540 CCIS,25-34,10.1007/978-3-031-99353-4_3,SCOPUS_ID:105015742167
25,"24th IFIP WG 6.11 Conference on e-Business, e-Services and e-Society, I3E 2025",,2026-01-01,16079 LNCS,,,SCOPUS_ID:105019194933
26,Statistical Analysis of Experimental Crossing Speed on Vertical Traffic Calming Devices: Influence of Vehicle Category and Road Safety Implications,Nardoianni S.,2026-01-01,15892 LNCS,65-80,10.1007/978-3-031-97638-4_5,SCOPUS_ID:105010825871
27,Sensitivity analysis for the design optimisation of an energy tunnel based hydronic heated pavement,De Feudis S.,2026-01-01,56,,10.1016/j.trgeo.2025.101692,SCOPUS_ID:105019104492
28,Impact of ITS Traffic Lights with Speed Displays on Speed Management: Case Study: Croatia,Vertlberg J.,2026-01-01,Part F903,497-506,10.1007/978-3-031-88974-5_73,SCOPUS_ID:105015415133
29,Safety Audit for Nigdi - Dapodi BRT Corridor,Chawhan P.,2026-01-01,1649 LNNS,47-54,10.1007/978-3-032-06674-9_6,SCOPUS_ID:105021835698
30,A Simulation-Based Assessment of the Effectiveness of Vehicular Ad-hoc Networks in Enhancing Transportation Resilience,Hu A.,2026-01-01,Part F1004,673-679,10.1007/978-3-032-04774-8_97,SCOPUS_ID:105017958758
31,Estimating the Impact of Vehicle Breakdown on Traffic Performances: A V2V Simulation Study of UK Motorways,Koliou P.,2026-01-01,Part F1025,707-716,10.1007/978-3-032-06763-0_101,SCOPUS_ID:105019319740
32,A Survey on Deep Learning Techniques and Real-Time Applications in Traffic Sign Recognition,Pattnaik S.,2026-01-01,1519 LNNS,57-65,10.1007/978-981-96-8901-9_6,SCOPUS_ID:105021828324
33,Detection of Potholes Using Deep Learning and Image Processing Techniques,Kanchana M.,2026-01-01,1359 LNNS,387-403,10.1007/978-981-96-4933-4_27,SCOPUS_ID:105020756548
34,Evaluation of the Effectiveness of Driver’s Heart Rate Warning System in Detecting Sleepiness While Driving,Fauzi T.N.F.A.B.T.M.,2026-01-01,,579-587,10.1007/978-981-96-7703-0_55,SCOPUS_ID:105022158785
35,Path Generation Using Deep Reinforcement Learning for Model Predictive Control of Automatic Driving,Uematsu T.,2026-01-01,,137-144,10.1007/978-981-96-5622-6_12,SCOPUS_ID:105021403515
36,AcciShield: IoT and AI-Powered Accident Detection and Notification System for Intelligent Transportation,Taslim Arif M.,2026-01-01,1507 LNNS,595-606,10.1007/978-981-96-8750-3_48,SCOPUS_ID:105023587820
37,Low Visibility Forecasting Using Numerical Weather Prediction Data,Paul T.,2026-01-01,16022,196-212,10.1007/978-3-032-06129-4_12,SCOPUS_ID:105020018200
38,Harmony or hazard? Quantifying driver workload under music and navigation distractions using interpretable AI,Peng Z.,2026-01-01,193,,10.1016/j.ssci.2025.107024,SCOPUS_ID:105019961918
39,Nominative Trademark Collision Analysis: A Study on the Performance of Natural Language Processing Models,Torres M.M.,2026-01-01,1524 LNNS,301-315,10.1007/978-3-031-97799-2_25,SCOPUS_ID:105020702647
40,DD-YOLO: A dual-channel dual-path YOLO network for target detection of blurred vehicles,Duan C.,2026-01-01,168,,10.1016/j.dsp.2025.105565,SCOPUS_ID:105014921910
