id,Title,Author,Date,Volume,Pages,DOI,SCOPUS_ID
1,Crash analysis for urban road networks: Semi-parametric spatial negative binomial models with monotonic constraints,Xia M.,2026-02-01,225,,10.1016/j.aap.2025.108329,SCOPUS_ID:105023117609
2,Unpacking temporal trends in U.S. road injury mortality by mode of transportation and sex: An age–period–cohort analysis,Hsu C.K.,2026-02-01,169,,10.1016/j.cities.2025.106492,SCOPUS_ID:105017462771
3,An examination of skeletal fracture patterns in car occupants following fatal motor vehicle incidents,Wulff A.R.,2026-01-01,379,,10.1016/j.forsciint.2025.112740,SCOPUS_ID:105023078240
4,Epidemiology of pediatric road traffic injuries: a multicenter hospital-based study in Ghana,Appiah A.B.,2025-12-01,12,,10.1186/s40621-025-00646-1,SCOPUS_ID:105024254012
5,A Computational Intelligence GNN–LSTM Framework for Spatiotemporal Prediction of Traffic Accident Severity in Smart Cities Using SHAP XAI,Alnowaiser K.,2025-12-01,18,,10.1007/s44196-025-01015-y,SCOPUS_ID:105019357148
6,National trends in road traffic injuries and fatalities in Saudi Arabia from 2000 to 2023,Alharbi R.J.,2025-12-01,15,,10.1038/s41598-025-15217-z,SCOPUS_ID:105023453902
7,Prevalence of post-traumatic stress disorder and its associated factors among survivors of road traffic accidents in Kathmandu valley,Acharya A.,2025-12-01,25,,10.1186/s12889-025-24475-5,SCOPUS_ID:105017621273
8,"Work-related eye injuries among Social Security-insured workers in Brazil: magnitude and temporal trend, 2003–2019",dos Santos Júnior C.J.,2025-12-01,22,,10.1186/s12982-025-00651-1,SCOPUS_ID:105004442469
9,"When do emergencies happen? Exploring circadian, weekly, and seasonal trends in ambulance calls in Cyprus",Protopapas A.,2025-12-01,83,,10.1016/j.ienj.2025.101686,SCOPUS_ID:105016872052
10,Smartphone addiction and its association with accident risk in Iranian adults,Azami-Aghdash S.,2025-12-01,15,,10.1038/s41598-025-05101-1,SCOPUS_ID:105009544333
11,"Magnitude and temporal evolution of traffic injuries and deaths in Brazil, 2001 to 2021",Souza E.R.d.,2025-10-01,30,e15372025,10.1590/1413-812320253010.15372025,SCOPUS_ID:105021459541
12,Effect of COVID-19 restrictions and fuel prices on traffic volume and offenses in Iran: A spatiotemporal analysis,Delavary M.,2025-10-01,20,,10.1371/journal.pone.0332443,SCOPUS_ID:105019520337
13,Open skull fractures and sepsis: Evidence towards a targeted antibiotic prophylactic recommendation,Hoffman J.P.,2025-10-01,257,,10.1016/j.clineuro.2025.109050,SCOPUS_ID:105010167719
14,Trends in isolated chest trauma in Japan: a 15-year analysis using the Japan Trauma Data Bank,Igai H.,2025-08-31,17,5734-5743,10.21037/jtd-2025-88,SCOPUS_ID:105014528831
15,"Epidemiological characteristics of injury deaths in local residents in Nanjing, 2009-2023",Zhang T.,2025-07-10,46,1196-1203,10.3760/cma.j.cn112338-20241111-00713,SCOPUS_ID:105011065483
16,Spatio-temporal analysis of road traffic crashes by severity,Gedamu W.T.,2025-06-01,20,,10.1016/j.treng.2025.100327,SCOPUS_ID:105002023923
17,Management and outcomes of pediatric traumatic brain injury in Nigeria: a systematic review,Woo J.,2025-06-01,35,627-636,10.3171/2024.12.PEDS24437,SCOPUS_ID:105007083426
18,"Modelling low temporal, large spatial data of fatal crashes: An application of negative binomial GSARIMAX time series",Ghalehnovi S.,2025-05-01,214,,10.1016/j.aap.2025.107958,SCOPUS_ID:85217777281
19,A systematic analysis on global epidemiology and burden of foot fracture over three decades,Chen C.,2025-05-01,28,208-215,10.1016/j.cjtee.2024.03.001,SCOPUS_ID:85188435823
20,"Traffic crash prediction in Kano, Nigeria: multivariate long short-term memory method",Labbo M.S.,2025-04-23,178,184-191,10.1680/jtran.24.00003,SCOPUS_ID:105009131644
21,Towards Enhancing Road Safety in South Carolina Using Insights from Traffic and Driver-Education Data,Gupta N.,2025-04-11,39,29385-29387,10.1609/aaai.v39i28.35260,SCOPUS_ID:105003902256
22,Epidemiology of Traumatic Injuries at a Single Regional Trauma Center in South Korea: Age-Specific and Temporal Trends (2014–2023),Jeon S.,2025-04-01,13,,10.3390/healthcare13070773,SCOPUS_ID:105002378154
