id,Title,Author,Date,Volume,Pages,DOI,SCOPUS_ID
1,"Patterns, Causes, and Mortality Trends of Road Traffic Accidents in Hamedan Province, Iran: A Spatiotemporal Epidemiological Analysis (2011–2024)",Jalili E.,2026-12-01,26,,10.34172/jrhs.11510,SCOPUS_ID:105020826478
2,"Monthly rural-urban scaling of road accidents in England, Wales and Scotland (2019-2023)",Copsey I.,2026-05-01,516,,10.1016/j.amc.2025.129874,SCOPUS_ID:105024219202
3,A frequency-attentive spatio-temporal convolutional neural network with weighted feature fusion for EEG-based driver fatigue detection,Bello I.,2026-03-01,113,,10.1016/j.bspc.2025.108979,SCOPUS_ID:105020970120
4,SET-DGCN: An end-to-end electroencephalography-based fatigue detection method for young drivers,Cao Y.,2026-02-01,225,,10.1016/j.aap.2025.108311,SCOPUS_ID:105021606484
5,An anchor-free automatic evaluation system for pavement surface distress using UAV aerial photograph,Yang T.,2026-02-01,259,,10.1016/j.measurement.2025.119669,SCOPUS_ID:105021944071
6,LiDAR-GPS Integrated System for Real-Time Pothole Detection and Visualization Using Google Earth,Pattanashetty V.B.,2026-01-01,1656 LNNS,215-224,10.1007/978-3-032-06703-6_21,SCOPUS_ID:105022853513
7,Application of the dual-model interpretability framework of XGBoost-SHAP and GAT-GNNExplainer to investigate the impact of the built environment on traffic accidents at intersections,Chen Y.,2026-01-01,224,,10.1016/j.aap.2025.108305,SCOPUS_ID:105020965340
8,Mapping Risk Factors to Build Inclusive Roads: A Systematic Diagnosis for Enhancing Vulnerable Users and Persons with Reduced Mobility Safety,Maestroni D.,2026-01-01,15898 LNCS,87-104,10.1007/978-3-031-97657-5_6,SCOPUS_ID:105010822127
9,Characteristics analysis of autonomous vehicle pre-crash scenarios,Li Y.,2026-01-01,224,,10.1016/j.aap.2025.108285,SCOPUS_ID:105020667367
10,Naturalistic Spatial Road Safety Analysis: The SmartMaps Project,Nikolaou D.,2026-01-01,Part F903,256-262,10.1007/978-3-031-88974-5_37,SCOPUS_ID:105015315782
11,Analysis of Hidden Patterns in Road Accident Dataset Using Clustering Techniques,Velesaca H.O.,2026-01-01,2393 CCIS,96-111,10.1007/978-3-031-98290-3_8,SCOPUS_ID:105023384428
12,Collaborative Perception for Self-driving Vehicles Using Federated Learning on Edge Devices,Huang Q.,2026-01-01,2596 CCIS,120-132,10.1007/978-981-95-1331-4_10,SCOPUS_ID:105017376699
13,Road Accidents - Study of the Evolution and Mapping of Accidents Within the Municipality of Cagliari – Italy,Rassu N.,2026-01-01,15896 LNCS,401-418,10.1007/978-3-031-97654-4_25,SCOPUS_ID:105010833046
14,Integrating criminal offense prevention into road traffic safety: A criminological and empirical assessment,Nechypailo V.,2026-01-01,8,,10.31893/multiscience.2026129,SCOPUS_ID:105015495359
15,Pedestrian Crossing Bridges and User’s Behavior. The Case of Jeddah,Al Dakheel M.,2026-01-01,,461-471,10.1007/978-3-031-78623-5_36,SCOPUS_ID:105012899558
16,Thirty years of research on traffic safety and crash prevention for cruising and ride-hailing taxis: A bibliometric review,Wang Y.,2026-01-01,224,,10.1016/j.aap.2025.108301,SCOPUS_ID:105020776535
17,Evaluating Viaduct Surface Cracking on SLAM Point Clouds: Insights from an Italian Case Study,Pascucci N.,2026-01-01,1675 LNNS,618-639,10.1007/978-3-032-07986-2_39,SCOPUS_ID:105021815907
18,Attention-Based Code Summarization for Multi-label Vulnerability Detection,Baby M.B.,2026-01-01,16351 LNCS,425-447,10.1007/978-981-95-4434-9_20,SCOPUS_ID:105023327371
19,A novel paradigm for identifying eye-tracking metrics associated with cognitive control during driving through MEG neuroimaging,Seacrist T.,2026-01-01,116,,10.1016/j.trf.2025.103434,SCOPUS_ID:105021088294
20,Risk analysis of pedestrian crosswalks in airport drop-off zones based on integrated VISSIM–SSAM model,Qin M.x.,2026-01-01,224,,10.1016/j.aap.2025.108279,SCOPUS_ID:105019112239
21,Bibliometric Analysis and Visualization of Research in Driver Fatigue Detection,Shuxi C.,2025-12-30,39,,10.1142/S021800142557023X,SCOPUS_ID:105020640485
22,A systematic review on GIS-based road traffic accidents analysis and road safety audit,Endashaw D.K.,2025-12-01,5,,10.1007/s43762-025-00221-w,SCOPUS_ID:105019196309
23,Determining the Spatial and Temporal Distribution of Traffic Accidents Using GIS-based Data in Tabriz,Dianat I.,2025-12-01,20,219-232,10.18502/ijre.v20i4.18869,SCOPUS_ID:105013972142
24,Relative crash risk and road safety during rainfall in Texas from 2006 to 2021,Tafazzol S.,2025-12-01,15,,10.1038/s41598-025-20760-w,SCOPUS_ID:105019392347
25,Assessing and predicting crash dynamics with and without road safety measures on the Dejen to Bahir Dar highway in Ethiopia,Geremew G.,2025-12-01,15,,10.1038/s41598-025-09098-5,SCOPUS_ID:105014938575
26,"Spatiotemporal modeling and mapping of traffic crashes using R programming and GIS: a case study of Bole sub city, Addis Ababa, Ethiopia",Haile M.N.,2025-12-01,15,,10.1038/s41598-025-19651-x,SCOPUS_ID:105019737994
27,Predicting the severity of road traffic accidents Morocco: a supervised machine learning approach,Touzani H.D.,2025-12-01,14,4461-4473,10.11591/ijai.v14.i6.pp4461-4473,SCOPUS_ID:105024107077
28,The nexus between neighborhood socioeconomic environment and substance-positive driving behavior: a spatial analysis in the Chicago metropolitan area,Oh S.,2025-12-01,95,476-485,10.1016/j.jsr.2025.11.001,SCOPUS_ID:105020928024
29,Current status and challenges in electroencephalography (EEG)-based driver fatigue detection: a comprehensive survey,Hassan J.,2025-12-01,19,,10.1007/s11571-025-10320-3,SCOPUS_ID:105014941954
30,Advancements in Traffic Sign Recognition for Autonomous Vehicles Using DCGAIN and Template Matching,Siddaiyan J.,2025-12-01,151,,10.1061/JTEPBS.TEENG-8872,SCOPUS_ID:105017955058
31,Do Transportation Network Companies (TNCs) improve or worsen road safety? Assessing crash impacts in San Francisco,Goyal V.S.,2025-12-01,95,171-179,10.1016/j.jsr.2025.09.013,SCOPUS_ID:105017508387
32,Mobile crowd sensing for road anomaly detection using deep learning,Jana S.,2025-12-01,33,,10.1007/s41324-025-00651-y,SCOPUS_ID:105019757963
33,Navicular fracture mapping: a new perspective on fracture patterns and surgical strategies,Da Cunha Q.,2025-12-01,35,,10.1007/s00590-025-04550-8,SCOPUS_ID:105017949859
34,Research on hourly precipitation prediction along railways based on ERA5 reanalysis and post-processing correction,Meng X.,2025-12-01,277,,10.1016/j.jastp.2025.106666,SCOPUS_ID:105020939333
