id,Title,Author,Date,Volume,Pages,DOI,SCOPUS_ID
1,Exploring weather-related factors affecting the duration of multiple congestion levels caused by traffic incidents using a multivariate joint frailty survival model,Liu Y.,2026-04-01,43,,10.1016/j.tbs.2025.101209,SCOPUS_ID:105024214714
2,A multivariate approach for drowsiness detection using empirical Fourier decomposition,Mahato A.,2026-03-01,113,,10.1016/j.bspc.2025.108944,SCOPUS_ID:105019977098
3,SET-DGCN: An end-to-end electroencephalography-based fatigue detection method for young drivers,Cao Y.,2026-02-01,225,,10.1016/j.aap.2025.108311,SCOPUS_ID:105021606484
4,Spatiotemporal evolution of global maritime accidents: Integrating hot spot detection and severity modeling for system safety,Wan C.,2026-02-01,266,,10.1016/j.ress.2025.111687,SCOPUS_ID:105017118337
5,Short-crested wave-induced ship motion prediction using a CL-CBAM-GRU model,Wei Q.,2026-01-15,343,,10.1016/j.oceaneng.2025.123277,SCOPUS_ID:105021120545
6,STCAGNN-RNKDE: a traffic accident prediction model for spatiotemporal combinatorial attention graph neural networks using Ripley's K and network kernel density estimation,Gao P.,2026-01-01,265,,10.1016/j.ress.2025.111593,SCOPUS_ID:105013739920
7,Cloud Integrated Mobile App Development for Road Safety and Pothole Detection Alert System Using Rasperry Pi,Muthu Krishnammal P.,2026-01-01,1386 LNNS,123-146,10.1007/978-981-96-6053-7_9,SCOPUS_ID:105019647967
8,LiDAR-GPS Integrated System for Real-Time Pothole Detection and Visualization Using Google Earth,Pattanashetty V.B.,2026-01-01,1656 LNNS,215-224,10.1007/978-3-032-06703-6_21,SCOPUS_ID:105022853513
9,Chaotic dual-feature graph convolutional network (CDF-GCN) for traffic speed forecasting,Shi N.,2026-01-01,186,,10.1016/j.asoc.2025.114096,SCOPUS_ID:105019529968
10,How does the driver respond to rear-end risk under time-varying driving styles: A temporal instability test using the model with heterogeneity in means and variances,Xu G.,2026-01-01,224,,10.1016/j.aap.2025.108288,SCOPUS_ID:105021256576
11,Harmony or hazard? Quantifying driver workload under music and navigation distractions using interpretable AI,Peng Z.,2026-01-01,193,,10.1016/j.ssci.2025.107024,SCOPUS_ID:105019961918
12,Leveraging LLMs in Cloud–Edge Networks for Traffic Risk Prediction and Accident Severity Analysis,Hu Y.,2026-01-01,13,438-453,10.1109/TNSE.2025.3584432,SCOPUS_ID:105010058194
13,Spectral Curvature Signature: A Frequency-Domain Descriptor for Driving Behavior Classification,Thai D.T.,2026-01-01,16354 LNAI,371-383,10.1007/978-981-95-4960-3_30,SCOPUS_ID:105023828972
14,Driver distracted detection using a new hybrid deep convolutional neural network based on Autoencoder,Hassam D.D.,2025-12-31,7,,10.1088/2631-8695/ae0ff5,SCOPUS_ID:105019403091
15,Intelligent traffic accident detection system in complex dynamic scenarios based on the dual-stream spatiotemporal-fusion model,Liu H.,2025-12-26,162,,10.1016/j.engappai.2025.112675,SCOPUS_ID:105019979346
16,A systematic review on GIS-based road traffic accidents analysis and road safety audit,Endashaw D.K.,2025-12-01,5,,10.1007/s43762-025-00221-w,SCOPUS_ID:105019196309
17,Multi-view residual spatio-temporal topology adaptive graph convolutional network for urban road traffic accident prediction with multi-source risks,Wang R.,2025-12-01,28,,10.1016/j.array.2025.100617,SCOPUS_ID:105023711232
18,Time-intervals-related pattern selection for continuous event prediction,Itzhak N.,2025-12-01,168,,10.1016/j.patcog.2025.111546,SCOPUS_ID:105006976658
19,Temporal facial features based fatigue detection system for low-cost devices,Wang C.,2025-12-01,239,7272-7286,10.1177/09544070241306160,SCOPUS_ID:85213503077
20,YOLOv10n-BC: A Novel Real-Time Object Detection Model for Driver Distracted Driving Detection,Liu Y.,2025-12-01,E108.D,1570-1581,10.1587/transinf.2025EDP7088,SCOPUS_ID:105023311187
21,Real-time driver drowsiness detection using transformer architectures: a novel deep learning approach,Hassan O.F.,2025-12-01,15,,10.1038/s41598-025-02111-x,SCOPUS_ID:105005555166
22,Deep segmentation of 3+1D radar point cloud for real-time roadside traffic user detection,Bhanderi S.,2025-12-01,15,,10.1038/s41598-025-23019-6,SCOPUS_ID:105020866215
23,Adaptive multi-scale spatio-temporal convolutional network with reinforcement learning for dynamic lane-level traffic flow prediction,Yang X.,2025-12-01,28,,10.1016/j.array.2025.100513,SCOPUS_ID:105015780677
24,Deep learning based predictive models for real time accident prevention in autonomous vehicle networks,Almutairi A.,2025-12-01,15,,10.1038/s41598-025-04867-8,SCOPUS_ID:105009740103
25,Assessing motorcyclist injury severity on curved road segments with temporal dynamics and unobserved heterogeneity,Jafari M.,2025-12-01,15,,10.1038/s41598-025-97972-7,SCOPUS_ID:105003125741
26,Does brain connectivity hold the key to safer roads? EEG-based fatigue detection in young drivers using interpretable deep learning,Zhou Y.,2025-12-01,223,,10.1016/j.aap.2025.108251,SCOPUS_ID:105016993034
27,Zone-specific real-time traffic conflict risk modeling for freeway tunnels: a CrossTabNet approach,Jin J.,2025-12-01,223,,10.1016/j.aap.2025.108274,SCOPUS_ID:105018050041
28,Mobile crowd sensing for road anomaly detection using deep learning,Jana S.,2025-12-01,33,,10.1007/s41324-025-00651-y,SCOPUS_ID:105019757963
29,Design of an integrated model for pothole detection and repair optimization using multimodal transformers and hybrid deep learning,Meshram K.,2025-12-01,23,,10.1016/j.cscm.2025.e05431,SCOPUS_ID:105019739774
30,Hybrid AI model for social network-based flow prediction,Zhou Y.,2025-12-01,5,,10.1007/s44163-025-00593-2,SCOPUS_ID:105021800321
31,CrossFormerGAN: enhancing pedestrian trajectory prediction in autonomous driving through advanced attention mechanisms and transformer architectures,Nisha V.,2025-12-01,19,,10.1007/s11571-025-10316-z,SCOPUS_ID:105014007935
32,Exploring the role of virtual reality in preparing emergency responders for mass casualty incidents,Lochmannová A.,2025-12-01,14,,10.1186/s13584-025-00681-9,SCOPUS_ID:105002706572
33,Hypergraph network with multi-granularity temporal representation for traffic accident prediction,Deng W.,2025-11-07,653,,10.1016/j.neucom.2025.131219,SCOPUS_ID:105013322305
34,Predicting urban vitality and pedestrian road safety in urban areas based on machine learning,Qiao W.,2025-11-01,166,,10.1016/j.cities.2025.106193,SCOPUS_ID:105009501085
35,Digital Twin-Based Driver Risk-Aware Predictive Mobility Analytics for Real-Time Situational Awareness Through Cooperative Sensing,Li T.,2025-11-01,26,20071-20090,10.1109/TITS.2025.3604569,SCOPUS_ID:105015478177
36,Real-Time Detection of Rear Car Signals for Advanced Driver Assistance Systems Using Meta-Learning and Geometric Post-Processing,Tammisetti V.,2025-11-01,15,,10.3390/app152211964,SCOPUS_ID:105023195816
37,IDSRN: Interpretable Dynamic System Recurrent Network for Driver Fatigue Assessment,Gao B.,2025-11-01,15,,10.3390/app152111384,SCOPUS_ID:105021458349
38,A crash-injury-aware driving safety field for real-time risk assessment and its application in autonomous vehicle motion planning,Guo W.,2025-11-01,222,,10.1016/j.aap.2025.108224,SCOPUS_ID:105015570841
