id,Title,Author,Date,Volume,Pages,DOI,SCOPUS_ID
1,Real-time driver activity detection using advanced deep learning models,AL Emran M.,2026-12-01,20,,10.1007/s11571-025-10376-1,SCOPUS_ID:105021814605
2,"Patterns, Causes, and Mortality Trends of Road Traffic Accidents in Hamedan Province, Iran: A Spatiotemporal Epidemiological Analysis (2011–2024)",Jalili E.,2026-12-01,26,,10.34172/jrhs.11510,SCOPUS_ID:105020826478
3,Correlates of Anxiety and Depression Among Youth in India: Findings from a Large-Scale Population-Based Cross-sectional Study,Saraswat N.,2026-12-01,26,,10.34172/jrhs.11330,SCOPUS_ID:105020730487
4,Application study of endoscopic middle meningeal artery interruption combined with hematoma evacuation for the treatment of chronic subdural hematoma,Chen M.,2026-12-01,49,,10.1007/s10143-025-03929-9,SCOPUS_ID:105022220613
5,Long-term functionality and quality of life after open pelvic ring fractures,Cerbasi S.,2026-12-01,36,,10.1007/s00590-025-04607-8,SCOPUS_ID:105023453349
6,Evaluation of Optimal Turns Configuration at Intersections in Urban Roads Network Based on Safety and Congestion indices using Non-dominated Sorting Genetic Algorithm-2,Asgari M.,2026-08-01,39,1988-2011,10.5829/ije.2026.39.08b.16,SCOPUS_ID:105023650092
7,"Monthly rural-urban scaling of road accidents in England, Wales and Scotland (2019-2023)",Copsey I.,2026-05-01,516,,10.1016/j.amc.2025.129874,SCOPUS_ID:105024219202
8,Multi-graph spatio-temporal network for traffic accident risk forecasting,Zou G.,2026-04-01,172,,10.1016/j.patcog.2025.112784,SCOPUS_ID:105022914863
9,Exploring weather-related factors affecting the duration of multiple congestion levels caused by traffic incidents using a multivariate joint frailty survival model,Liu Y.,2026-04-01,43,,10.1016/j.tbs.2025.101209,SCOPUS_ID:105024214714
10,Exploring the Potential and Utility of Graph Neural Networks in Crash Analysis and Safety Assessment,Ulak M.B.,2026-04-01,8,,10.1007/s42421-025-00144-2,SCOPUS_ID:105024231738
11,Self-management of lower extremity fracture patients: A concept analysis review,Nur A.,2026-04-01,9,,10.31893/multirev.2026187,SCOPUS_ID:105018117184
12,An ergonomics study on side- and rear-view CMS display locations in two lane-changing scenarios,Ryu J.,2026-04-01,132,,10.1016/j.apergo.2025.104698,SCOPUS_ID:105023682351
